InvoiceNo,Description,Quantity
101455,Rice,3
101455,Spices,2
101455,Orange,3
101455,Wheat Flour,2
101456,Orange,3
101456,Dishwashing Liquid,2
101456,Soft Drink,3
101457,Spices,1
101457,Tea,2
101457,Fish,1
101457,Biscuits,2
101458,Rice,2
101458,Bread,3
101458,Soap,1
101458,Spices,2
101458,Cooking Oil,2
101459,Cookies,2
101459,Chicken,3
101459,Bread,3
101459,Jam,3
101459,Grapes,2
101459,Butter,3
101460,Popcorn,2
101460,Detergent,1
101460,Sugar,2
101461,Dishwashing Liquid,3
101461,Bread,2
101461,Coffee,3
101461,Cooking Oil,3
101461,Soft Drink,1
101461,Wheat Flour,2
101462,Banana,1
101462,Dishwashing Liquid,3
101462,Detergent,2
101462,Onion,2
101462,Yogurt,1
101463,Dishwashing Liquid,2
101463,Toothpaste,3
101463,Coffee,1
101463,Chips,1
101463,Soft Drink,3
101464,Butter,1
101464,Banana,2
101464,Grapes,1
101465,Carrot,1
101465,Milk,1
101465,Cheese,2
101465,Bread,3
101466,Chips,1
101466,Soft Drink,1
101466,Tomato,2
101467,Banana,2
101467,Toothbrush,3
101467,Toothpaste,3
101468,Toothpaste,3
101468,Yogurt,2
101468,Cheese,3
101468,Wheat Flour,2
101469,Banana,2
101469,Chicken,1
101469,Bread,1
101469,Potato,3
101469,Salt,2
101469,Soft Drink,1
101470,Spices,2
101470,Cooking Oil,1
101470,Salt,3
101470,Rice,1
101471,Shampoo,1
101471,Carrot,3
101471,Conditioner,3
101472,Spices,2
101472,Cooking Oil,3
101472,Chicken,3
101473,Spices,1
101473,Chips,1
101473,Yogurt,2
101473,Toothbrush,2
101474,Tea,2
101474,Onion,1
101474,Fruit Juice,1
101474,Toothbrush,1
101475,Tea,2
101475,Coffee,1
101475,Biscuits,3
101475,Sugar,3
101476,Spices,1
101476,Jam,2
101476,Onion,1
101476,Coffee,3
101476,Toothbrush,3
101477,Cheese,1
101477,Fruit Juice,2
101477,Apple,2
101477,Jam,3
101477,Orange,1
101478,Tea,1
101478,Biscuits,2
101478,Sugar,1
101479,Tea,1
101479,Soap,1
101479,Spices,1
101479,Apple,1
101479,Shampoo,3
101479,Conditioner,1
101480,Fruit Juice,3
101480,Toothpaste,2
101480,Tea,3
101480,Shampoo,3
101480,Chips,3
101480,Toothbrush,2
101481,Cookies,1
101481,Popcorn,3
101481,Bread,2
101481,Jam,3
101481,Conditioner,1
101481,Toothbrush,2
101482,Cheese,2
101482,Tissue Paper,3
101482,Soap,1
101482,Shampoo,1
101482,Coffee,2
101482,Cooking Oil,1
101483,Carrot,3
101483,Cookies,1
101483,Fruit Juice,1
101483,Onion,2
101483,Soft Drink,3
101484,Potato,3
101484,Salt,2
101484,Tomato,2
101485,Biscuits,3
101485,Yogurt,1
101485,Dishwashing Liquid,2
101486,Banana,2
101486,Dishwashing Liquid,3
101486,Tissue Paper,3
101486,Spices,3
101486,Butter,2
101487,Cookies,3
101487,Chicken,2
101487,Fruit Juice,3
101487,Apple,3
101487,Butter,3
101487,Sugar,3
101487,Orange,3
101487,Toothbrush,1
101488,Spices,3
101488,Onion,3
101488,Eggs,2
101488,Toothbrush,1
101489,Carrot,3
101489,Popcorn,2
101489,Rice,2
101489,Onion,2
101489,Chips,1
101489,Biscuits,3
101490,Fruit Juice,3
101490,Spices,3
101490,Shampoo,2
101490,Yogurt,3
101490,Fish,2
101490,Toothbrush,3
101491,Dishwashing Liquid,3
101491,Shampoo,3
101491,Jam,1
101491,Soft Drink,2
101491,Butter,3
101491,Toothbrush,1
101492,Banana,3
101492,Popcorn,2
101492,Cheese,2
101493,Carrot,3
101493,Spices,1
101493,Butter,1
101493,Fish,2
101494,Banana,1
101494,Tissue Paper,1
101494,Rice,2
101494,Biscuits,3
101494,Toothbrush,2
101494,Tomato,1
101495,Popcorn,1
101495,Dishwashing Liquid,3
101495,Rice,3
101495,Sugar,1
101495,Toothbrush,2
101496,Rice,2
101496,Soap,2
101496,Spices,1
101496,Salt,3
101496,Cooking Oil,1
101496,Biscuits,2
101496,Tomato,3
101497,Potato,1
101497,Cookies,3
101497,Toothpaste,1
101498,Potato,3
101498,Detergent,2
101498,Rice,3
101499,Shampoo,1
101499,Apple,1
101499,Jam,1
101499,Fish,2
101499,Orange,3
101500,Spices,2
101500,Yogurt,3
101500,Fish,2
101500,Conditioner,1
101501,Cheese,2
101501,Popcorn,1
101501,Toothpaste,2
101501,Butter,2
101501,Tomato,1
101502,Spices,1
101502,Jam,3
101502,Chips,1
101503,Potato,1
101503,Toothpaste,2
101503,Chocolate,2
101503,Soap,2
101504,Tea,2
101504,Eggs,1
101504,Fish,2
101504,Soft Drink,2
101504,Butter,3
101505,Milk,2
101505,Cheese,1
101505,Tissue Paper,1
101505,Toothpaste,3
101505,Soap,3
101505,Sugar,3
101506,Cheese,3
101506,Fruit Juice,3
101506,Onion,2
101506,Cooking Oil,2
101506,Tomato,3
101507,Banana,2
101507,Tissue Paper,2
101507,Salt,3
101507,Grapes,3
101507,Sugar,2
101507,Tomato,1
101508,Coffee,3
101508,Grapes,2
101508,Conditioner,2
101509,Butter,1
101509,Cookies,1
101509,Bread,3
101509,Grapes,1
101510,Milk,3
101510,Chocolate,1
101510,Jam,3
101510,Yogurt,1
101510,Cooking Oil,2
101510,Butter,2
101510,Tomato,2
101511,Carrot,2
101511,Toothpaste,3
101511,Shampoo,1
101511,Fish,2
101511,Toothbrush,2
101512,Milk,2
101512,Salt,3
101512,Orange,3
101512,Wheat Flour,3
101513,Orange,3
101513,Yogurt,3
101513,Chocolate,1
101513,Fruit Juice,3
101514,Milk,2
101514,Eggs,3
101514,Chips,1
101514,Yogurt,1
101514,Soft Drink,3
101514,Grapes,1
101514,Sugar,2
101515,Apple,3
101515,Banana,1
101515,Detergent,2
101515,Onion,2
101516,Toothpaste,3
101516,Soap,2
101516,Spices,3
101516,Jam,3
101516,Biscuits,2
101516,Toothbrush,2
101517,Eggs,3
101517,Detergent,1
101517,Spices,2
101517,Soft Drink,1
101517,Butter,3
101517,Sugar,1
101518,Salt,2
101518,Yogurt,3
101518,Chocolate,3
101518,Soap,1
101519,Biscuits,1
101519,Bread,3
101519,Dishwashing Liquid,3
101519,Tissue Paper,3
101520,Cookies,3
101520,Chocolate,2
101520,Tissue Paper,1
101520,Tea,3
101520,Cooking Oil,3
101521,Popcorn,2
101521,Fruit Juice,3
101521,Potato,2
101521,Soft Drink,2
101521,Toothbrush,2
101522,Shampoo,1
101522,Coffee,2
101522,Milk,2
101522,Sugar,1
101523,Dishwashing Liquid,2
101523,Bread,3
101523,Jam,3
101523,Coffee,2
101523,Fish,1
101523,Butter,1
101524,Fruit Juice,2
101524,Salt,1
101524,Dishwashing Liquid,3
101525,Spices,2
101525,Cooking Oil,3
101525,Coffee,2
101525,Chicken,1
101526,Toothpaste,2
101526,Tea,2
101526,Tissue Paper,3
101526,Bread,3
101526,Sugar,1
101527,Chicken,2
101527,Dishwashing Liquid,3
101527,Detergent,1
101527,Spices,3
101527,Butter,3
101527,Biscuits,3
101527,Conditioner,3
101528,Cheese,1
101528,Potato,1
101528,Biscuits,2
101528,Conditioner,2
101528,Toothbrush,1
101529,Carrot,1
101529,Dishwashing Liquid,1
101529,Eggs,3
101529,Coffee,3
101529,Yogurt,1
101530,Tissue Paper,2
101530,Bread,1
101530,Jam,2
101530,Onion,2
101530,Butter,3
101531,Chips,3
101531,Cheese,2
101531,Conditioner,2
101532,Coffee,3
101532,Eggs,1
101532,Rice,3
101532,Tissue Paper,1
101533,Spices,1
101533,Coffee,3
101533,Milk,3
101533,Sugar,3
101534,Coffee,1
101534,Eggs,1
101534,Rice,1
101535,Milk,3
101535,Popcorn,3
101535,Toothpaste,3
101535,Coffee,1
101535,Sugar,1
101535,Tomato,2
101536,Toothbrush,3
101536,Cooking Oil,1
101536,Dishwashing Liquid,2
101536,Tomato,3
101537,Tea,2
101537,Orange,1
101537,Grapes,3
101538,Spices,3
101538,Cooking Oil,3
101538,Salt,2
101538,Rice,1
101539,Orange,3
101539,Soft Drink,1
101539,Sugar,3
101540,Carrot,3
101540,Milk,3
101540,Dishwashing Liquid,2
101540,Potato,1
101540,Onion,1
101541,Cookies,3
101541,Banana,2
101541,Detergent,2
101541,Coffee,2
101541,Cooking Oil,1
101542,Yogurt,1
101542,Chocolate,2
101542,Soft Drink,1
101543,Cookies,1
101543,Fruit Juice,1
101543,Potato,3
101543,Shampoo,3
101543,Cooking Oil,1
101544,Cookies,1
101544,Eggs,2
101544,Bread,3
101544,Salt,3
101544,Cooking Oil,1
101545,Apple,1
101545,Milk,1
101545,Orange,1
101545,Tomato,1
101546,Spices,3
101546,Shampoo,1
101546,Salt,2
101546,Cooking Oil,2
101546,Fish,3
101547,Tea,2
101547,Onion,2
101547,Apple,2
101547,Biscuits,1
101547,Orange,1
101548,Butter,1
101548,Cheese,1
101548,Conditioner,1
101549,Cookies,2
101549,Banana,1
101549,Salt,2
101549,Wheat Flour,3
101550,Butter,3
101550,Milk,1
101550,Tea,3
101550,Potato,1
101551,Eggs,2
101551,Cheese,2
101551,Conditioner,1
101551,Tomato,1
101552,Cookies,2
101552,Eggs,2
101552,Cheese,3
101553,Banana,1
101553,Rice,3
101553,Coffee,2
101553,Chips,1
101553,Grapes,2
101554,Bread,1
101554,Onion,3
101554,Apple,1
101554,Cooking Oil,2
101554,Toothbrush,1
101555,Salt,1
101555,Chips,2
101555,Cooking Oil,3
101555,Soft Drink,1
101556,Soap,1
101556,Toothbrush,1
101556,Toothpaste,2
101557,Cooking Oil,1
101557,Salt,1
101557,Rice,1
101557,Tissue Paper,2
101558,Spices,1
101558,Apple,3
101558,Tissue Paper,3
101559,Apple,3
101559,Banana,3
101559,Detergent,3
101560,Milk,2
101560,Banana,3
101560,Popcorn,3
101560,Yogurt,3
101560,Biscuits,1
101561,Cookies,2
101561,Chicken,3
101561,Toothpaste,2
101561,Tissue Paper,3
101561,Rice,1
101561,Yogurt,2
101562,Carrot,2
101562,Detergent,2
101562,Orange,1
101563,Banana,1
101563,Cheese,1
101563,Soap,2
101563,Shampoo,2
101563,Soft Drink,1
101564,Cookies,3
101564,Chocolate,2
101564,Dishwashing Liquid,1
101564,Tissue Paper,1
101564,Orange,3
101565,Apple,1
101565,Banana,2
101565,Sugar,1
101566,Tea,2
101566,Conditioner,1
101566,Toothbrush,1
101567,Tea,2
101567,Eggs,3
101567,Bread,3
101567,Jam,3
101567,Butter,3
101568,Coffee,2
101568,Salt,1
101568,Conditioner,3
101569,Tissue Paper,1
101569,Conditioner,3
101569,Toothbrush,2
101570,Apple,2
101570,Banana,2
101570,Fruit Juice,3
101571,Cookies,1
101571,Milk,2
101571,Potato,3
101571,Salt,1
101571,Biscuits,2
101571,Conditioner,2
101572,Jam,2
101572,Eggs,3
101572,Chips,2
101572,Dishwashing Liquid,1
101573,Fruit Juice,2
101573,Tissue Paper,3
101573,Eggs,2
101573,Cooking Oil,3
101573,Conditioner,3
101574,Shampoo,3
101574,Banana,2
101574,Soap,1
101575,Coffee,2
101575,Milk,2
101575,Cooking Oil,1
101575,Sugar,2
101576,Carrot,1
101576,Cookies,2
101576,Popcorn,3
101576,Detergent,3
101576,Shampoo,3
101577,Carrot,3
101577,Rice,2
101577,Salt,3
101577,Cooking Oil,2
101577,Orange,1
101577,Toothbrush,2
101578,Milk,3
101578,Salt,2
101578,Yogurt,1
101578,Grapes,2
101579,Popcorn,3
101579,Onion,3
101579,Soft Drink,1
101579,Sugar,2
101579,Wheat Flour,3
101579,Toothbrush,2
101580,Fish,2
101580,Conditioner,1
101580,Toothbrush,2
101581,Chicken,2
101581,Rice,1
101581,Bread,1
101581,Spices,1
101581,Yogurt,3
101581,Cooking Oil,3
101582,Popcorn,1
101582,Chicken,1
101582,Fruit Juice,2
101582,Wheat Flour,3
101583,Tomato,2
101583,Popcorn,2
101583,Wheat Flour,3
101584,Rice,1
101584,Bread,3
101584,Potato,1
101584,Grapes,2
101584,Soft Drink,2
101584,Conditioner,3
101585,Bread,3
101585,Soap,3
101585,Apple,3
101585,Yogurt,3
101585,Butter,1
101585,Sugar,3
101585,Orange,3
101585,Wheat Flour,3
101586,Butter,2
101586,Milk,1
101586,Cheese,2
101587,Cookies,2
101587,Banana,3
101587,Fish,2
101587,Toothpaste,2
101588,Popcorn,3
101588,Tissue Paper,2
101588,Salt,3
101588,Fish,2
101588,Toothbrush,3
101589,Apple,1
101589,Eggs,3
101589,Cheese,1
101589,Tomato,3
101590,Carrot,1
101590,Popcorn,1
101590,Chicken,2
101590,Soap,1
101590,Spices,2
101590,Cooking Oil,3
101590,Butter,3
101591,Cheese,2
101591,Chocolate,3
101591,Chicken,3
101591,Detergent,1
101591,Jam,1
101592,Cheese,1
101592,Potato,1
101592,Apple,3
101592,Shampoo,3
101592,Conditioner,3
101593,Toothpaste,1
101593,Apple,2
101593,Dishwashing Liquid,2
101593,Sugar,2
101594,Banana,2
101594,Cheese,2
101594,Detergent,1
101594,Shampoo,1
101594,Cooking Oil,2
101595,Potato,3
101595,Jam,2
101595,Salt,2
101595,Toothbrush,2
101596,Cookies,2
101596,Bread,2
101596,Conditioner,2
101596,Sugar,2
101597,Biscuits,1
101597,Tomato,2
101597,Orange,3
101597,Sugar,2
101598,Spices,1
101598,Cooking Oil,3
101598,Chicken,3
101599,Soap,2
101599,Salt,1
101599,Cooking Oil,2
101599,Biscuits,3
101599,Orange,1
101600,Carrot,2
101600,Tea,3
101600,Biscuits,2
101601,Carrot,2
101601,Milk,3
101601,Toothbrush,3
101602,Spices,1
101602,Cooking Oil,1
101602,Salt,3
101602,Rice,3
101603,Milk,1
101603,Fruit Juice,3
101603,Onion,1
101603,Salt,1
101603,Cooking Oil,1
101603,Wheat Flour,1
101604,Carrot,1
101604,Cookies,2
101604,Toothpaste,3
101604,Tissue Paper,2
101604,Soap,3
101604,Onion,1
101604,Toothbrush,2
101605,Cookies,2
101605,Detergent,2
101605,Apple,1
101605,Coffee,1
101605,Jam,3
101605,Grapes,2
101606,Banana,1
101606,Spices,1
101606,Apple,1
101606,Soft Drink,1
101606,Orange,1
101607,Chocolate,3
101607,Eggs,2
101607,Shampoo,3
101607,Salt,3
101607,Fish,3
101607,Toothbrush,3
101608,Chips,2
101608,Fruit Juice,2
101608,Toothbrush,3
101609,Butter,1
101609,Milk,2
101609,Carrot,2
101609,Bread,3
101610,Cookies,2
101610,Chips,1
101610,Fish,2
101610,Soft Drink,1
101610,Toothbrush,1
101611,Tea,3
101611,Salt,1
101611,Biscuits,2
101611,Conditioner,2
101611,Sugar,1
101612,Banana,3
101612,Cheese,3
101612,Chocolate,1
101612,Potato,2
101612,Apple,3
101612,Yogurt,3
101613,Tea,3
101613,Jam,3
101613,Biscuits,1
101613,Sugar,1
101614,Carrot,1
101614,Dishwashing Liquid,3
101614,Toothpaste,3
101614,Apple,1
101614,Cooking Oil,2
101614,Conditioner,2
101614,Toothbrush,2
101615,Carrot,1
101615,Tissue Paper,1
101615,Tea,3
101615,Salt,3
101615,Sugar,3
101616,Carrot,3
101616,Cookies,1
101616,Banana,1
101616,Chocolate,3
101616,Apple,1
101616,Salt,1
101617,Chocolate,3
101617,Fruit Juice,3
101617,Bread,1
101617,Coffee,3
101617,Sugar,3
101618,Coffee,1
101618,Detergent,1
101618,Fruit Juice,1
101619,Carrot,1
101619,Cookies,1
101619,Milk,3
101619,Toothpaste,3
101619,Spices,3
101619,Yogurt,3
101620,Carrot,1
101620,Detergent,3
101620,Soap,1
101621,Cheese,3
101621,Popcorn,1
101621,Eggs,3
101621,Potato,1
101621,Orange,3
101622,Sugar,2
101622,Wheat Flour,2
101622,Conditioner,2
101622,Soap,3
101623,Milk,1
101623,Tea,2
101623,Rice,2
101623,Bread,2
101623,Jam,3
101624,Salt,3
101624,Tomato,1
101624,Tissue Paper,2
101625,Carrot,1
101625,Banana,1
101625,Cooking Oil,3
101626,Spices,3
101626,Salt,1
101626,Rice,2
101627,Milk,2
101627,Cheese,3
101627,Tissue Paper,1
101627,Fish,2
101627,Butter,2
101628,Dishwashing Liquid,1
101628,Detergent,2
101628,Fish,3
101628,Soft Drink,2
101628,Orange,1
101628,Toothbrush,3
101629,Cookies,2
101629,Detergent,3
101629,Cooking Oil,3
101629,Dishwashing Liquid,3
101630,Shampoo,2
101630,Potato,3
101630,Conditioner,2
101631,Biscuits,3
101631,Spices,3
101631,Carrot,1
101631,Dishwashing Liquid,1
101632,Toothpaste,2
101632,Detergent,1
101632,Bread,2
101632,Jam,1
101632,Onion,3
101633,Milk,3
101633,Cheese,2
101633,Bread,1
101633,Potato,2
101633,Yogurt,2
101634,Chicken,1
101634,Eggs,1
101634,Spices,3
101634,Orange,3
101634,Sugar,3
101635,Banana,1
101635,Chicken,1
101635,Tissue Paper,3
101635,Detergent,2
101635,Sugar,2
101636,Cheese,1
101636,Potato,1
101636,Apple,3
101636,Yogurt,2
101636,Conditioner,3
101637,Shampoo,1
101637,Jam,3
101637,Conditioner,1
101637,Orange,1
101638,Potato,3
101638,Milk,1
101638,Dishwashing Liquid,1
101639,Cheese,1
101639,Fruit Juice,2
101639,Rice,2
101639,Spices,1
101639,Salt,3
101639,Cooking Oil,1
101640,Jam,1
101640,Banana,1
101640,Detergent,2
101641,Toothpaste,1
101641,Apple,1
101641,Salt,2
101641,Biscuits,1
101641,Toothbrush,2
101642,Milk,2
101642,Yogurt,3
101642,Toothbrush,3
101643,Potato,3
101643,Coffee,1
101643,Cheese,2
101644,Tea,2
101644,Eggs,1
101644,Potato,3
101644,Biscuits,1
101644,Butter,1
101644,Sugar,1
101645,Butter,2
101645,Milk,2
101645,Yogurt,3
101645,Tissue Paper,3
101646,Dishwashing Liquid,3
101646,Eggs,1
101646,Detergent,3
101646,Jam,3
101646,Orange,2
101647,Onion,3
101647,Detergent,2
101647,Chocolate,2
101647,Wheat Flour,2
101648,Coffee,2
101648,Milk,1
101648,Conditioner,2
101648,Sugar,3
101649,Butter,2
101649,Apple,3
101649,Eggs,3
101649,Yogurt,3
101650,Chocolate,2
101650,Rice,3
101650,Spices,1
101650,Potato,2
101650,Salt,1
101650,Cooking Oil,2
101651,Toothpaste,3
101651,Detergent,2
101651,Chips,2
101651,Cooking Oil,3
101651,Butter,3
101651,Toothbrush,1
101652,Cookies,2
101652,Cheese,1
101652,Detergent,2
101652,Grapes,2
101652,Biscuits,2
101652,Sugar,3
101653,Potato,2
101653,Onion,2
101653,Cheese,1
101653,Fish,1
101654,Milk,2
101654,Dishwashing Liquid,3
101654,Tea,3
101654,Butter,2
101654,Tomato,3
101655,Butter,1
101655,Jam,2
101655,Tea,3
101655,Bread,2
101656,Carrot,3
101656,Tea,3
101656,Salt,1
101656,Biscuits,1
101656,Sugar,3
101656,Tomato,1
101657,Eggs,1
101657,Rice,3
101657,Spices,1
101657,Salt,1
101657,Cooking Oil,2
101657,Biscuits,2
101658,Fruit Juice,2
101658,Cheese,1
101658,Dishwashing Liquid,2
101659,Chocolate,1
101659,Tissue Paper,2
101659,Onion,2
101659,Salt,1
101659,Fish,2
101660,Tea,2
101660,Detergent,3
101660,Spices,3
101660,Biscuits,3
101660,Sugar,3
101661,Potato,1
101661,Yogurt,2
101661,Bread,2
101662,Spices,1
101662,Milk,2
101662,Fish,2
101662,Tissue Paper,1
101663,Butter,1
101663,Orange,3
101663,Cooking Oil,2
101663,Conditioner,3
101664,Onion,2
101664,Toothbrush,3
101664,Fish,3
101664,Tomato,2
101665,Potato,1
101665,Yogurt,2
101665,Soft Drink,2
101666,Milk,1
101666,Detergent,3
101666,Bread,2
101666,Dishwashing Liquid,3
101667,Popcorn,2
101667,Chocolate,2
101667,Apple,3
101667,Salt,3
101667,Chips,2
101667,Conditioner,1
101667,Sugar,1
101668,Butter,2
101668,Milk,2
101668,Cheese,1
101668,Bread,1
101669,Chocolate,1
101669,Fruit Juice,2
101669,Onion,1
101669,Jam,2
101669,Yogurt,1
101670,Spices,3
101670,Apple,1
101670,Tissue Paper,3
101671,Cookies,1
101671,Tomato,1
101671,Dishwashing Liquid,3
101671,Soft Drink,1
101672,Butter,3
101672,Popcorn,3
101672,Dishwashing Liquid,3
101672,Wheat Flour,2
101673,Popcorn,1
101673,Conditioner,2
101673,Soft Drink,2
101674,Milk,3
101674,Detergent,1
101674,Salt,1
101674,Sugar,1
101674,Tomato,3
101675,Rice,1
101675,Grapes,1
101675,Tissue Paper,2
101676,Biscuits,1
101676,Potato,2
101676,Soft Drink,2
101676,Toothpaste,2
101677,Butter,2
101677,Jam,1
101677,Coffee,1
101677,Bread,3
101678,Biscuits,3
101678,Detergent,3
101678,Cooking Oil,3
101678,Fruit Juice,3
101679,Milk,1
101679,Dishwashing Liquid,1
101679,Fruit Juice,3
101679,Tea,2
101679,Potato,1
101679,Onion,3
101679,Coffee,2
101680,Dishwashing Liquid,3
101680,Tissue Paper,3
101680,Detergent,1
101680,Soap,2
101680,Spices,3
101680,Tomato,3
101681,Cheese,1
101681,Chicken,3
101681,Popcorn,2
101681,Butter,3
101681,Toothbrush,1
101682,Cheese,3
101682,Tea,2
101682,Soap,1
101682,Sugar,1
101682,Conditioner,1
101682,Tomato,1
101683,Cookies,3
101683,Detergent,1
101683,Fish,1
101683,Toothbrush,2
101684,Banana,2
101684,Chocolate,2
101684,Toothpaste,3
101684,Eggs,3
101684,Coffee,3
101684,Sugar,1
101685,Butter,1
101685,Milk,3
101685,Cheese,1
101685,Bread,1
101686,Banana,3
101686,Onion,1
101686,Salt,1
101686,Soft Drink,2
101686,Sugar,3
101687,Conditioner,2
101687,Chips,2
101687,Soft Drink,1
101688,Milk,2
101688,Cheese,2
101688,Chicken,2
101688,Rice,2
101688,Wheat Flour,2
101689,Cookies,3
101689,Fruit Juice,3
101689,Tissue Paper,3
101689,Eggs,1
101689,Bread,2
101689,Yogurt,2
101689,Fish,2
101690,Cooking Oil,2
101690,Coffee,1
101690,Chicken,3
101690,Toothpaste,3
101691,Banana,1
101691,Eggs,2
101691,Rice,2
101691,Fish,1
101691,Soft Drink,3
101692,Cookies,1
101692,Cheese,3
101692,Rice,3
101692,Potato,2
101692,Butter,2
101693,Cookies,2
101693,Potato,2
101693,Chips,1
101693,Cooking Oil,2
101693,Grapes,3
101693,Butter,3
101693,Orange,2
101694,Coffee,2
101694,Chips,1
101694,Fruit Juice,2
101694,Sugar,1
101695,Detergent,3
101695,Jam,1
101695,Tomato,1
101695,Wheat Flour,3
101695,Sugar,3
101696,Butter,3
101696,Shampoo,3
101696,Fish,2
101696,Conditioner,1
101697,Carrot,1
101697,Popcorn,1
101697,Chicken,3
101697,Eggs,2
101697,Grapes,1
101698,Cheese,1
101698,Biscuits,1
101698,Sugar,2
101698,Orange,1
101698,Toothbrush,1
101699,Popcorn,2
101699,Toothpaste,3
101699,Eggs,2
101699,Rice,2
101699,Potato,2
101700,Carrot,2
101700,Banana,1
101700,Dishwashing Liquid,2
101700,Rice,2
101700,Tomato,3
101701,Carrot,2
101701,Chicken,1
101701,Rice,2
101701,Soap,1
101702,Potato,3
101702,Eggs,3
101702,Tomato,1
101703,Conditioner,2
101703,Fish,1
101703,Dishwashing Liquid,2
101704,Chicken,2
101704,Dishwashing Liquid,1
101704,Rice,1
101704,Spices,1
101704,Cooking Oil,1
101705,Spices,2
101705,Tissue Paper,1
101705,Potato,2
101705,Sugar,1
101706,Apple,1
101706,Chips,2
101706,Orange,1
101706,Toothbrush,2
101707,Cookies,1
101707,Cheese,3
101707,Chocolate,1
101707,Dishwashing Liquid,1
101707,Spices,3
101707,Jam,3
101708,Coffee,1
101708,Milk,1
101708,Fruit Juice,2
101708,Sugar,3
101709,Eggs,2
101709,Banana,3
101709,Detergent,2
101709,Fruit Juice,3
101710,Biscuits,1
101710,Apple,2
101710,Shampoo,1
101710,Conditioner,3
101711,Fruit Juice,2
101711,Toothpaste,2
101711,Bread,2
101711,Soft Drink,1
101711,Tomato,3
101712,Spices,1
101712,Jam,2
101712,Chips,1
101712,Cooking Oil,3
101713,Butter,2
101713,Onion,2
101713,Salt,3
101713,Yogurt,3
101714,Bread,2
101714,Soap,1
101714,Biscuits,2
101714,Butter,2
101714,Sugar,3
101715,Cookies,2
101715,Chicken,3
101715,Coffee,3
101715,Chips,3
101715,Soft Drink,1
101716,Rice,3
101716,Shampoo,1
101716,Onion,3
101716,Chips,3
101716,Fish,1
101716,Soft Drink,3
101717,Chocolate,1
101717,Shampoo,1
101717,Onion,1
101717,Potato,3
101717,Conditioner,3
101717,Sugar,2
101718,Cookies,1
101718,Chicken,2
101718,Fish,2
101718,Toothpaste,2
101719,Cookies,1
101719,Rice,3
101719,Cooking Oil,2
101719,Butter,1
101719,Conditioner,3
101720,Biscuits,2
101720,Coffee,1
101720,Chicken,1
101720,Fruit Juice,1
101721,Shampoo,3
101721,Tea,3
101721,Conditioner,3
101721,Detergent,3
101722,Eggs,2
101722,Soap,2
101722,Apple,2
101722,Cooking Oil,1
101722,Biscuits,1
101723,Fruit Juice,3
101723,Conditioner,1
101723,Chocolate,3
101723,Soft Drink,2
101724,Biscuits,3
101724,Apple,2
101724,Detergent,2
101724,Dishwashing Liquid,1
101725,Carrot,1
101725,Cheese,3
101725,Chocolate,1
101725,Popcorn,3
101725,Soap,1
101725,Fish,2
101726,Spices,1
101726,Cooking Oil,2
101726,Salt,3
101726,Rice,2
101727,Cookies,3
101727,Detergent,1
101727,Grapes,1
101727,Soft Drink,2
101728,Biscuits,3
101728,Cheese,3
101728,Rice,2
101728,Orange,3
101729,Banana,3
101729,Potato,1
101729,Jam,1
101729,Yogurt,3
101729,Butter,3
101730,Banana,1
101730,Yogurt,3
101730,Fruit Juice,3
101731,Carrot,3
101731,Chocolate,2
101731,Eggs,2
101731,Bread,1
101731,Jam,1
101731,Cooking Oil,2
101731,Tomato,1
101732,Apple,3
101732,Milk,3
101732,Cooking Oil,2
101732,Sugar,1
101733,Eggs,1
101733,Grapes,3
101733,Sugar,1
101734,Toothpaste,1
101734,Rice,1
101734,Spices,1
101734,Cooking Oil,2
101734,Butter,2
101734,Toothbrush,2
101735,Carrot,3
101735,Cookies,3
101735,Chicken,2
101735,Dishwashing Liquid,3
101735,Bread,3
101735,Tomato,2
101735,Sugar,2
101736,Grapes,1
101736,Popcorn,3
101736,Chocolate,1
101736,Dishwashing Liquid,3
101737,Carrot,1
101737,Tissue Paper,1
101737,Bread,1
101737,Grapes,1
101737,Tomato,1
101738,Coffee,2
101738,Milk,2
101738,Sugar,2
101739,Spices,3
101739,Banana,1
101739,Dishwashing Liquid,1
101739,Soap,1
101740,Rice,3
101740,Spices,2
101740,Cooking Oil,3
101740,Grapes,2
101740,Wheat Flour,2
101740,Toothbrush,1
101741,Carrot,1
101741,Cooking Oil,2
101741,Butter,1
101741,Wheat Flour,2
101741,Tomato,2
101742,Carrot,2
101742,Cookies,2
101742,Dishwashing Liquid,1
101742,Tissue Paper,1
101742,Chips,3
101742,Fish,3
101743,Carrot,1
101743,Onion,3
101743,Jam,2
101743,Dishwashing Liquid,3
101744,Spices,3
101744,Milk,1
101744,Coffee,2
101744,Potato,2
101745,Cookies,2
101745,Chocolate,2
101745,Toothpaste,2
101745,Eggs,2
101745,Detergent,3
101745,Fish,2
101745,Tomato,1
101746,Apple,2
101746,Cookies,3
101746,Grapes,1
101747,Popcorn,3
101747,Rice,2
101747,Spices,2
101747,Apple,1
101747,Salt,3
101747,Cooking Oil,2
101748,Detergent,1
101748,Bread,3
101748,Soft Drink,2
101748,Wheat Flour,3
101749,Banana,1
101749,Chocolate,1
101749,Chicken,1
101749,Toothpaste,1
101749,Soap,3
101749,Wheat Flour,2
101749,Toothbrush,1
101750,Biscuits,2
101750,Cheese,2
101750,Soap,2
101751,Tissue Paper,1
101751,Toothpaste,1
